hidden,lr,dropout,l2,auc,round
122,0.0015613814613817869,0.24042889057709124,0.0031455360588111907,0.6273088206774472,1
113,0.00893036572113576,0.4136134961112352,0.0057503645808242194,0.7155613139619807,1
117,0.007446321178959343,0.22039528407353848,0.008404809638947556,0.7108507907951691,1
138,0.005944576223712957,0.20637284567469455,0.0032327930079563247,0.7118808670069445,1
135,0.005006678331739983,0.3750715517989439,0.004462794501032443,0.6198497220972886,1
140,0.008381775376785243,0.1375184866332537,0.0013908771990770064,0.6578093756576205,1
104,0.008679782120143139,0.4471742374896319,0.001736940329766493,0.70867757921362,1
185,0.0010663200334790162,0.44381947761749185,0.0015015321635358883,0.6548064584012445,1
167,0.003450045986369504,0.10371598613980973,0.005748598077798585,0.7094020655990692,1
68,0.0018285593817269114,0.15480160819933336,0.0012246443786656724,0.6497722724478132,1
156,0.002014516684063993,0.42074203015477063,0.004128352582778626,0.6710061852437167,1
68,0.005753554318597503,0.4764418482930929,0.00861056630630222,0.7160896385820567,1
50,0.0024760514350689435,0.11593639303397905,0.0008953854124698668,0.6641600818647334,1
194,0.002567707984280992,0.22120524365502262,0.001509668372626733,0.6814070501050129,1
188,0.0008618788123396897,0.30752126784733025,0.009728648929888095,0.643824205388053,1
60,0.0012167267047452665,0.13996955559411048,0.0033545175964613577,0.6312922991858916,1
68,0.00386689716870274,0.44164875010848637,0.002903861782417276,0.6845397790807548,1
106,0.003145183940262174,0.10305814286512925,0.008883854479917245,0.6365374188676755,1
105,0.007638213667762405,0.25103153999245764,0.00184937301784708,0.7056768901304306,1
157,0.0058526144426309604,0.1749326155645336,0.004208559557110148,0.7111323658660372,1
155,0.002817230212868336,0.31655903393192597,0.00726344286056858,0.6723368997858478,1
20,0.006756213505529709,0.2252163746032202,0.0021429607199469312,0.6776648745002084,1
52,0.0025946572426891173,0.40241735065278994,0.009184358113287055,0.6501192072654951,1
116,0.0031732620162928677,0.12062708460064528,0.007294828532643556,0.6542084002129144,1
154,0.003972157234914753,0.38454517182670644,0.01,0.7013545642477234,1
77,0.01,0.19956382971954617,0.004243695133317188,0.7154979348135555,1
77,0.01,0.5,0.004144245176891841,0.7200867337044203,1
200,0.0001,0.29260767930014964,1e-05,0.6286214622592851,1
150,0.0001,0.1,0.0008946741798070154,0.6019430495438434,1
79,0.006876149152235724,0.37041415294688496,0.004070673204325344,0.6964883165326324,1
157,0.0001,0.5,0.007803257736524595,0.4624830101794505,1
20,0.008675118303890634,0.5,0.005300968375587779,0.6550458632314288,1
46,0.006549430718892544,0.2787120246376914,0.004565445902107928,0.6862761861927535,1
200,0.003775682822548754,0.4125020398426753,0.006017239059272365,0.7137109399177227,1
135,0.006380180728433798,0.4477104820301573,0.006667312904105514,0.7195959579287892,1
122,0.0014484823089994802,0.38825973209238807,1e-05,0.660573630808208,1
20,0.00784840956390513,0.5,1e-05,0.6994734084035138,1
101,0.006836782942549103,0.10265023147163715,0.006350330910958218,0.7101806883404649,1
20,0.008303760045531662,0.5,1e-05,0.6818391506533912,1
106,0.0047644128719176275,0.2371268462393658,1e-05,0.7093983519770911,1
157,0.004834648380980506,0.3663348115379141,0.008737918306492457,0.6994056554336479,1
20,0.007264049952959234,0.3296553868922793,0.0019760405851207206,0.6637597534155006,1
27,0.0026094486796319435,0.4485500510382332,0.00824941841369061,0.6383760743714695,1
108,0.003587563085073165,0.2801193609910625,0.006940480041414575,0.6934441368098337,1
130,0.006284851755779321,0.4255445783095168,0.01,0.7104495545716749,1
45,0.01,0.24585879096274013,0.005654910271361725,0.7191215220898614,1
64,0.01,0.5,0.005347897600454515,0.7143535615697894,1
146,0.00160693384598921,0.29719319110768666,1e-05,0.6571302779852363,1
138,0.0001,0.12940062151806522,0.001666704752440566,0.48878222082846784,1
84,0.01,0.5,0.005525148604195186,0.7196787304364332,1
145,0.0033125208595218792,0.5,0.007741911237190633,0.6391888624350632,1
24,0.00958195370971133,0.5,0.0045425251266598896,0.6832901865476106,1
52,0.009593685145908363,0.366531311903571,0.006368389273848146,0.7177915502721259,1
194,0.00445733603709688,0.5,0.007578549664591981,0.7089600620587495,1
91,0.009237894936100215,0.5,0.004680923910070648,0.7215032741767107,1
143,0.005227008567896286,0.5,1e-05,0.7043039228226827,1
20,0.01,0.5,0.0007512938298657522,0.6507594356945092,1
96,0.009363121546317054,0.1639552177263598,0.004334809614318586,0.7234807366175506,1
20,0.008879294431416981,0.5,0.0005984301531727662,0.6575369608542981,1
81,0.006737080439484476,0.201779378670777,0.0006315140238238768,0.657663966725947,1
132,0.006306033675731525,0.3621058164323202,0.008204181496419608,0.7088472504755499,1
62,0.007910401158337904,0.3739813318017049,0.003674642641302456,0.7247491448353834,1
30,0.0043721083584644,0.38787157981639236,0.007702159110345926,0.6699158658309642,1
97,0.005668027781092713,0.38211741372819835,0.006296666570198671,0.7092410594550879,1
91,0.00771189645253565,0.44229848275553013,0.01,0.7230736411238246,1
36,0.01,0.2823231801430982,0.005970942550011489,0.7082316144765237,1
61,0.01,0.5,0.005377012588843737,0.719663298273991,1
113,0.003021933740925865,0.30285086137006656,0.0011590428283017177,0.6891746268841473,1
126,0.0019856836682582363,0.20032280019973508,0.0033800801507677444,0.6511712351094074,1
79,0.01,0.5,0.0054340590258688546,0.7258807267145586,1
119,0.0062698173528120855,0.49656148056605875,0.005966952361484755,0.7109823355381244,1
48,0.009620560606798818,0.5,0.004556908009350622,0.7209504396515798,1
64,0.01,0.4583832339285574,0.007261980109726006,0.7174270376437482,1
150,0.006393310163393029,0.5,0.007276965702711618,0.7079454180094161,1
64,0.01,0.5,0.003993311136261737,0.7232191325804309,1
130,0.00823889774370668,0.5,1e-05,0.7115685926610578,1
20,0.01,0.5,0.0020203182383011016,0.6998731591782166,1
87,0.01,0.3409431658065416,0.003434729362292363,0.7241985384834394,1
30,0.009359137104445137,0.47673140134347236,0.0026208802973196376,0.6834640665811159,1
102,0.008508343120142633,0.2296151662065156,0.0026099008058785844,0.7144937714306934,1
98,0.0073045479084453465,0.41177400418999066,0.007254105549345018,0.7120318876340515,1
91,0.00915251893401253,0.4398959634082888,0.004782303879056034,0.7082522457097351,1
70,0.006338862752053482,0.344185835478099,0.007123384209863838,0.7133869470313717,1
90,0.007424820401242117,0.37128834060838634,0.00504587865646867,0.708623690432472,1
66,0.00911356995822966,0.45321007911700684,0.01,0.7111578660702864,1
44,0.01,0.3398771119284041,0.0060212791076886055,0.7250647201785839,1
70,0.01,0.5,0.005060892365354711,0.7264918238422783,1
92,0.004050307279785555,0.30983668218971067,0.0026852240861039707,0.6366971046127311,1
117,0.005835455010334636,0.3087039566421986,0.006087946826745792,0.6419378504730742,1
74,0.01,0.5,0.005321094258270445,0.7225177531761784,1
84,0.00884772606825596,0.49561697381520464,0.005055666981195415,0.7174039306625515,1
62,0.00968220971437183,0.5,0.004621435455798413,0.7250731377217342,1
70,0.01,0.5,0.006811157842030349,0.7178532789218942,1
95,0.007187110644140682,0.48407920951713834,0.006786731989353227,0.7107380617369021,1
53,0.01,0.5,0.0038222869445993933,0.7179682361533477,1
110,0.009796701260682559,0.5,1e-05,0.7089280423848054,1
20,0.01,0.5,0.004033754257748131,0.6862415257209584,1
75,0.01,0.44815152680019055,0.003141370838655082,0.7260520484751456,1
73,0.009788464720776041,0.37026001917279994,0.0036944506343860543,0.7088574010422899,1
110,0.009987421352335827,0.37633318913542957,0.004435724595578628,0.7141748125652463,1
74,0.007891084087999361,0.4718598042468338,0.006718175242618635,0.7141300840516442,1
99,0.00990189722294755,0.48247002150602686,0.005227485132110158,0.7070910373796684,1
90,0.008561433039300827,0.34860876291297177,0.006686843392391725,0.7146675689392658,1
92,0.008644544429502667,0.3272734257898502,0.0036911426690755074,0.7237479523501038,1
66,0.009528417331646472,0.47653274288207265,0.008451179350594936,0.715840248234998,1
53,0.01,0.4001269579098463,0.005990935879446313,0.7054374853002463,1
74,0.01,0.5,0.004902832253610198,0.7097498256660794,1
80,0.005320909520811622,0.34801639200983975,0.0034405316858685283,0.7204482754352158,1
107,0.008062884422492759,0.3698568233920636,0.007344415499233383,0.7218787626211569,1
72,0.01,0.5,0.005250493662957162,0.7129196908616016,1
60,0.01,0.4953347282485805,0.004600592126090173,0.7233023177127389,1
69,0.009788938733990454,0.5,0.004716572390509627,0.7119047992374697,1
74,0.01,0.5,0.005863528804969431,0.7214001180106538,1
63,0.00777081378703391,0.46870839140605813,0.0061906892468796436,0.7147507540715738,1
57,0.01,0.5,0.00393445104878819,0.7240999211886892,1
94,0.01,0.5,0.001454942183130553,0.7151134511514291,1
22,0.01,0.5,0.004826748500342735,0.7034123234482218,1
69,0.01,0.5,0.003080583353053219,0.6738936501190421,1
93,0.01,0.3276332700185215,0.004372230803408847,0.7111199871261105,1
103,0.01,0.41738665109040607,0.004748641840978871,0.7191764011702035,1
61,0.009046187040865425,0.5,0.006254757222976552,0.7226050645551287,1
90,0.01,0.4845042572281087,0.005301723700895696,0.7282213813848508,1
100,0.01,0.4026429240289737,0.005961005781446302,0.7239526141835602,1
94,0.009277749007591554,0.343835566189885,0.003562168743002257,0.71536581239607,1
85,0.00967176947471358,0.4883465016459618,0.007026172255734669,0.7196154338129408,1
73,0.01,0.45453914007514484,0.005959745249155894,0.7168931013282387,1
77,0.01,0.5,0.004994673054041279,0.6565402247153922,1
78,0.006684280254624304,0.3807906911784509,0.003861068178375964,0.711982455199277,1
96,0.00986943522689004,0.40333603607808066,0.007218165511548762,0.7267223985046483,1
81,0.01,0.5,0.005299448080281404,0.7225896323926868,1
57,0.01,0.4947898535408683,0.00463273385061458,0.7238374093773081,1
80,0.009846585561172128,0.5,0.004920815833781098,0.7107123139578545,1
83,0.01,0.5,0.005378300960782819,0.7129229918589154,1
60,0.009000772898310508,0.4657372292225029,0.005814008092200997,0.7219645885513161,1
61,0.01,0.5,0.004507751020417474,0.7239871096054895,1
84,0.01,0.5,0.003817490257175705,0.7089492512925468,1
37,0.01,0.49596160315967563,0.005341987389941629,0.7150781304801713,1
77,0.01,0.5,0.003920853803925585,0.6754519684259607,1
102,0.01,0.34104671119011853,0.004957504547230181,0.7198978341331375,1
96,0.01,0.45491251128864607,0.005146300388715108,0.7266239462597638,1
57,0.01,0.5,0.005869767226788335,0.7218067183547828,1
86,0.01,0.4855213750891496,0.005338842985288464,0.7184227834834599,1
103,0.01,0.43921479428193944,0.005416598208776476,0.7144870043862002,1
94,0.009465471783956793,0.41626472755467503,0.003765642666172094,0.6378903326167418,1
98,0.009114474383880682,0.4755488890936949,0.006999804776744277,0.7237163453008241,1
82,0.01,0.44709650251909105,0.005815505997897481,0.7251838861816126,1
75,0.01,0.4954637634383945,0.0051435764450525456,0.7114311061229374,1
83,0.007647777917573441,0.4049679971086558,0.004103318284511289,0.7235201835354506,1
90,0.01,0.45394852044555006,0.006428345879502152,0.7251016913484987,1
86,0.01,0.49719690259156124,0.005383126404094094,0.7232623756452419,1
58,0.01,0.49268808832687117,0.004831615465047398,0.7122005685967874,1
79,0.009913145975564256,0.5,0.005062874069187214,0.7169062227925612,1
89,0.01,0.4982748650908134,0.005237559447383495,0.724196557885051,1
68,0.009658602052927059,0.47017154115562954,0.005390304111398553,0.718345870246048,1
72,0.01,0.5,0.004655135837506994,0.7195802781915486,1
84,0.01,0.49746124439264355,0.004741090242203755,0.710616585035754,1
67,0.01,0.49036636769194425,0.005591559247707565,0.7250027439540171,1
84,0.01,0.5,0.004308632062442001,0.7087334485931561,1
104,0.01,0.35898241163381633,0.0053799318487559615,0.7238539143638771,1
91,0.01,0.4784895466696236,0.005419924024531527,0.7252734257337498,1
70,0.01,0.4999171981256883,0.005560487209806213,0.7215900904060639,1
87,0.01,0.4853807286396164,0.005337168700336943,0.7145781119120613,1
100,0.01,0.4584045181461647,0.0051531415497766304,0.7181777669578421,1
93,0.009334401753952299,0.4390927581169992,0.004399350630269267,0.717513028623773,1
102,0.009269978223270758,0.4718006342942366,0.006616700325529133,0.716802323902109,1
86,0.01,0.45273479466357464,0.005495452728663254,0.7272712718330026,1
74,0.01,0.4951047696829536,0.005224533383909602,0.7233901242412863,1
86,0.00821788417326727,0.44933993184393994,0.0043876856117636915,0.7169946069956386,1
87,0.01,0.4654193805923233,0.006007221202727951,0.7254274997833721,1
88,0.01,0.49297870394365184,0.005427866647125307,0.7072267908941988,1
66,0.01,0.4912598056063892,0.004860031441768815,0.7228556927761799,1
77,0.00986540764727027,0.49974080425571243,0.005000393505744665,0.7093593176838552,1
92,0.01,0.49723372688519035,0.0051879963351239705,0.7246792462172634,1
76,0.009921112719197638,0.47708539903819425,0.005298159631681927,0.7150353000400247,1
77,0.01,0.4979118863296223,0.0047974587239428285,0.7210446005999562,1
88,0.01,0.4914026276887525,0.00467733261950413,0.7220091520150526,1
83,0.01,0.486761816806197,0.005593524066048776,0.7137749792656107,1
