hidden,lr,dropout,l2,auc,round
105,0.008132076631990535,0.3566225652859836,0.004920795279597163,0.7240339012424128,1
34,0.006413002387495691,0.10467488424516219,0.00038137757316836885,0.680653514943202,1
43,0.007134286034340646,0.16998000009335149,0.00847979083714415,0.7154552694232745,1
149,0.006623125665180455,0.12029087893839914,0.004283159307437641,0.7127566215942991,1
48,0.003176694770715223,0.29523745696066483,0.0033928293969764985,0.6637571126176496,1
101,0.005106131223135744,0.10033445623823778,0.005430591786308597,0.708013253504215,1
100,0.00011573467670877638,0.22579663615171008,0.004654598412476429,0.5667110925888483,1
69,0.0021363193587058647,0.4154577336890093,0.003539877312684933,0.6592637950740868,1
197,0.001215235618353359,0.3077665763550569,0.004254667570238854,0.6683431881857307,1
41,0.009483777078627935,0.49639575239759637,0.005880038285673958,0.7243111850167732,1
103,0.009952913265571612,0.4646859735300319,0.009587096985984787,0.7219972684247228,1
77,0.009135082667721355,0.2560735457216476,1e-05,0.7117536960854298,1
91,0.01,0.30668058547235133,0.004473397207785991,0.7225012481896093,1
164,0.00911302648209101,0.2872482853201347,0.002567002447465757,0.729374914896163,1
21,0.008673928402287924,0.2447669856423179,0.006374877537965441,0.6943114738540381,1
75,0.008889553382723339,0.28578693392941656,0.004732531605277948,0.720747510841713,1
200,0.0020233203148404748,0.15158073832602104,0.0031806263772370504,0.6800382090439074,1
50,0.002677271400920871,0.30756350124455206,0.0008287457214604744,0.6601938510672537,1
160,0.0001,0.23769861560395522,0.00723455559208158,0.5345951945731604,1
107,0.01,0.33885813287778643,0.006206232567696654,0.7189615062450743,1
123,0.009901240954136695,0.4711966055065978,0.009054162790025685,0.7203096335480357,1
138,0.01,0.33680397157127295,1e-05,0.706700611922377,1
132,0.01,0.3660494728986587,0.0019361451261270348,0.7102764172625655,1
172,0.01,0.37072698851100244,0.0017089240174798146,0.7319103284079702,1
39,0.01,0.24242235411199595,0.00590317242625499,0.7277106345754711,1
106,0.01,0.38868275176623024,0.003490580516387561,0.7186639213372341,1
200,0.006182903275376399,0.194882231894455,0.0023039426223568638,0.7037538116203357,1
89,0.004084395460447447,0.26079019821527216,1e-05,0.6860809322016415,1
153,0.0022567136423453384,0.21329621962920564,0.0075730442747003485,0.6733981704222388,1
157,0.01,0.3405115864064112,0.004948968019002532,0.7066261744329505,1
128,0.009033859677581853,0.379334533736689,0.005256077466920331,0.7306772408613953,1
163,0.01,0.36416844907844886,1e-05,0.7056338946404184,1
143,0.01,0.38885726912429486,0.0013025417397327691,0.7114284653250863,1
176,0.01,0.41246634010643635,0.0012798848024868435,0.7071405523393756,1
113,0.01,0.27222565632930307,0.005655100152760917,0.7260258055465008,1
130,0.01,0.42217831473160394,0.0028549861780527014,0.7066114849949041,1
200,0.008534148132557061,0.28299048122200854,0.0016197506670514092,0.7099886528217338,1
136,0.005571778718198545,0.24800811773919645,1e-05,0.7131687511089289,1
158,0.004753464179936846,0.24275973967089848,0.005398074151156732,0.710601565497976,1
150,0.01,0.38418603197553247,0.0034714550703339024,0.6993629900433669,1
158,0.0009758976206131871,0.3467465307934765,0.006655588730687711,0.6122534670787412,2
